id,word,pos,zh,theme,emoji,spell
1,zero,num.,零,numbers,0️⃣,true
2,one,num.,一,numbers,1️⃣,true
3,two,num.,二,numbers,2️⃣,true
4,three,num.,三,numbers,3️⃣,true
5,four,num.,四,numbers,4️⃣,true
6,five,num.,五,numbers,5️⃣,true
7,six,num.,六,numbers,6️⃣,true
8,seven,num.,七,numbers,7️⃣,true
9,eight,num.,八,numbers,8️⃣,true
10,nine,num.,九,numbers,9️⃣,true
11,ten,num.,十,numbers,🔟,true
12,eleven,num.,十一,numbers,🔢,true
13,twelve,num.,十二,numbers,🔢,true
14,thirteen,num.,十三,numbers,🔢,false
15,fourteen,num.,十四,numbers,🔢,false
16,fifteen,num.,十五,numbers,🔢,false
17,sixteen,num.,十六,numbers,🔢,false
18,seventeen,num.,十七,numbers,🔢,false
19,eighteen,num.,十八,numbers,🔢,false
20,nineteen,num.,十九,numbers,🔢,false
21,twenty,num.,二十,numbers,🔢,false
22,red,adj.,紅色的,colors,🔴,true
23,blue,adj.,藍色的,colors,🔵,true
24,yellow,adj.,黃色的,colors,🟡,true
25,green,adj.,綠色的,colors,🟢,true
26,black,adj.,黑色的,colors,⚫,true
27,white,adj.,白色的,colors,⚪,true
28,orange,adj.,橘色的,colors,🟠,true
29,purple,adj.,紫色的,colors,🟣,true
30,brown,adj.,咖啡色的,colors,🟤,true
31,pink,adj.,粉紅色的,colors,🌸,true
32,animal,n.,動物,animals,🐾,false
33,dog,n.,狗,animals,🐶,true
34,cat,n.,貓,animals,🐱,true
35,bird,n.,鳥,animals,🐦,true
36,fish,n.,魚,animals,🐟,true
37,pig,n.,豬,animals,🐷,true
38,cow,n.,牛,animals,🐮,true
39,horse,n.,馬,animals,🐴,true
40,sheep,n.,綿羊,animals,🐑,false
41,duck,n.,鴨子,animals,🦆,true
42,chicken,n.,雞,animals,🐔,false
43,rabbit,n.,兔子,animals,🐰,false
44,mouse,n.,老鼠,animals,🐭,false
45,bear,n.,熊,animals,🐻,true
46,lion,n.,獅子,animals,🦁,true
47,tiger,n.,老虎,animals,🐯,false
48,elephant,n.,大象,animals,🐘,false
49,monkey,n.,猴子,animals,🐵,false
50,frog,n.,青蛙,animals,🐸,true
51,snake,n.,蛇,animals,🐍,false
52,turtle,n.,烏龜,animals,🐢,false
53,bee,n.,蜜蜂,animals,🐝,true
54,ant,n.,螞蟻,animals,🐜,true
55,butterfly,n.,蝴蝶,animals,🦋,false
56,body,n.,身體,body,🧍,true
57,head,n.,頭,body,🙂,true
58,face,n.,臉,body,😀,true
59,hair,n.,頭髮,body,💇,true
60,eye,n.,眼睛,body,👁️,true
61,ear,n.,耳朵,body,👂,true
62,nose,n.,鼻子,body,👃,false
63,mouth,n.,嘴巴,body,👄,false
64,tooth,n.,牙齒,body,🦷,false
65,hand,n.,手,body,✋,true
66,arm,n.,手臂,body,💪,true
67,finger,n.,手指,body,👆,false
68,leg,n.,腿,body,🦵,true
69,foot,n.,腳,body,🦶,true
70,knee,n.,膝蓋,body,🦵,true
71,family,n.,家庭,family,👨‍👩‍👧,true
72,father,n.,爸爸,family,👨,true
73,mother,n.,媽媽,family,👩,true
74,brother,n.,兄弟,family,👦,true
75,sister,n.,姊妹,family,👧,true
76,grandfather,n.,祖父,family,👴,false
77,grandmother,n.,祖母,family,👵,false
78,son,n.,兒子,family,👦,true
79,daughter,n.,女兒,family,👧,false
80,uncle,n.,叔叔；舅舅,family,🧔,true
81,aunt,n.,阿姨；姑姑,family,👩,true
82,food,n.,食物,food,🍽️,true
83,fruit,n.,水果,food,🍇,true
84,apple,n.,蘋果,food,🍎,true
85,banana,n.,香蕉,food,🍌,false
86,grape,n.,葡萄,food,🍇,true
87,strawberry,n.,草莓,food,🍓,false
88,watermelon,n.,西瓜,food,🍉,false
89,tomato,n.,番茄,food,🍅,false
90,vegetable,n.,蔬菜,food,🥬,false
91,rice,n.,米飯,food,🍚,true
92,bread,n.,麵包,food,🍞,true
93,noodle,n.,麵條,food,🍜,false
94,egg,n.,蛋,food,🥚,true
95,soup,n.,湯,food,🍲,true
96,pizza,n.,披薩,food,🍕,false
97,hamburger,n.,漢堡,food,🍔,false
98,cake,n.,蛋糕,food,🍰,true
99,candy,n.,糖果,food,🍬,true
100,cookie,n.,餅乾,food,🍪,false
101,chocolate,n.,巧克力,food,🍫,false
102,ice cream,n.,冰淇淋,food,🍦,false
103,milk,n.,牛奶,food,🥛,true
104,water,n.,水,food,💧,false
105,juice,n.,果汁,food,🧃,true
106,tea,n.,茶,food,🍵,true
107,breakfast,n.,早餐,food,🌅,false
108,lunch,n.,午餐,food,🍱,true
109,dinner,n.,晚餐,food,🍽️,false
110,bowl,n.,碗,tableware,🥣,true
111,cup,n.,杯子,tableware,🥤,true
112,plate,n.,盤子,tableware,🍽️,true
113,spoon,n.,湯匙,tableware,🥄,false
114,fork,n.,叉子,tableware,🍴,true
115,chopsticks,n.,筷子,tableware,🥢,false
116,school,n.,學校,school,🏫,false
117,classroom,n.,教室,school,🪑,false
118,library,n.,圖書館,school,📚,false
119,playground,n.,操場,school,🛝,false
120,teacher,n.,老師,school,👩‍🏫,false
121,student,n.,學生,school,🧑‍🎓,false
122,classmate,n.,同學,school,👫,false
123,friend,n.,朋友,school,🧑‍🤝‍🧑,true
124,book,n.,書,school,📖,true
125,pen,n.,原子筆,school,🖊️,true
126,pencil,n.,鉛筆,school,✏️,false
127,eraser,n.,橡皮擦,school,🧽,true
128,ruler,n.,尺,school,📏,true
129,bag,n.,書包,school,🎒,true
130,desk,n.,書桌,school,🪑,true
131,homework,n.,家庭作業,school,📝,false
132,test,n.,測驗,school,📋,true
133,English,n.,英文,school,🔤,false
134,math,n.,數學,school,➗,true
135,music,n.,音樂,school,🎵,true
136,art,n.,美術,school,🎨,true
137,science,n.,自然科學,school,🔬,false
138,Monday,n.,星期一,time,📅,true
139,Tuesday,n.,星期二,time,📅,false
140,Wednesday,n.,星期三,time,📅,false
141,Thursday,n.,星期四,time,📅,false
142,Friday,n.,星期五,time,📅,true
143,Saturday,n.,星期六,time,📅,false
144,Sunday,n.,星期日,time,📅,false
145,January,n.,一月,time,🗓️,false
146,February,n.,二月,time,🗓️,false
147,March,n.,三月,time,🗓️,true
148,April,n.,四月,time,🗓️,true
149,May,n.,五月,time,🗓️,true
150,June,n.,六月,time,🗓️,true
151,July,n.,七月,time,🗓️,true
152,August,n.,八月,time,🗓️,true
153,September,n.,九月,time,🗓️,false
154,October,n.,十月,time,🗓️,false
155,November,n.,十一月,time,🗓️,false
156,December,n.,十二月,time,🗓️,false
157,spring,n.,春天,time,🌸,false
158,summer,n.,夏天,time,☀️,false
159,autumn,n.,秋天,time,🍁,true
160,winter,n.,冬天,time,❄️,false
161,morning,n.,早上,time,🌅,false
162,afternoon,n.,下午,time,🌇,false
163,night,n.,晚上,time,🌙,true
164,clothes,n.,衣服,clothing,👕,false
165,shirt,n.,襯衫,clothing,👔,true
166,T-shirt,n.,T恤,clothing,👕,false
167,coat,n.,外套,clothing,🧥,true
168,jacket,n.,夾克,clothing,🧥,false
169,dress,n.,洋裝,clothing,👗,true
170,skirt,n.,裙子,clothing,👗,true
171,pants,n.,長褲,clothing,👖,true
172,shorts,n.,短褲,clothing,🩳,false
173,socks,n.,襪子,clothing,🧦,false
174,shoes,n.,鞋子,clothing,👟,true
175,hat,n.,帽子,clothing,👒,true
176,cap,n.,鴨舌帽,clothing,🧢,true
177,umbrella,n.,雨傘,clothing,☂️,false
178,weather,n.,天氣,weather,🌤️,false
179,sunny,adj.,晴朗的,weather,☀️,false
180,rainy,adj.,下雨的,weather,🌧️,false
181,cloudy,adj.,多雲的,weather,☁️,false
182,windy,adj.,有風的,weather,💨,false
183,hot,adj.,熱的,weather,🥵,true
184,cold,adj.,冷的,weather,🥶,true
185,warm,adj.,溫暖的,weather,🌡️,true
186,rain,n.,雨,weather,🌧️,true
187,snow,n.,雪,weather,❄️,true
188,wind,n.,風,weather,💨,true
189,cloud,n.,雲,weather,☁️,false
190,sun,n.,太陽,weather,☀️,true
191,moon,n.,月亮,weather,🌙,true
192,star,n.,星星,weather,⭐,true
193,rainbow,n.,彩虹,weather,🌈,false
194,bus,n.,公車,transportation,🚌,true
195,car,n.,汽車,transportation,🚗,true
196,train,n.,火車,transportation,🚆,true
197,taxi,n.,計程車,transportation,🚕,true
198,bicycle,n.,腳踏車,transportation,🚲,false
199,motorcycle,n.,機車,transportation,🏍️,false
200,airplane,n.,飛機,transportation,✈️,false
201,boat,n.,小船,transportation,🛶,true
202,truck,n.,卡車,transportation,🚚,true
203,station,n.,車站,transportation,🚉,false
204,airport,n.,機場,transportation,🛫,false
205,home,n.,家,places,🏠,true
206,park,n.,公園,places,🏞️,true
207,zoo,n.,動物園,places,🦓,true
208,store,n.,商店,places,🏪,false
209,market,n.,市場,places,🏬,false
210,supermarket,n.,超級市場,places,🛒,false
211,bank,n.,銀行,places,🏦,true
212,hospital,n.,醫院,places,🏥,false
213,restaurant,n.,餐廳,places,🍴,false
214,post office,n.,郵局,places,📮,false
215,bookstore,n.,書店,places,📚,false
216,beach,n.,海灘,places,🏖️,true
217,farm,n.,農場,places,🚜,true
218,city,n.,城市,places,🏙️,true
219,house,n.,房子,house,🏡,true
220,door,n.,門,house,🚪,true
221,window,n.,窗戶,house,🪟,false
222,room,n.,房間,house,🛋️,true
223,bedroom,n.,臥室,house,🛏️,false
224,bathroom,n.,浴室,house,🛁,false
225,kitchen,n.,廚房,house,🍳,false
226,bed,n.,床,house,🛏️,true
227,chair,n.,椅子,house,🪑,true
228,table,n.,桌子,house,🪑,true
229,key,n.,鑰匙,house,🔑,true
230,baseball,n.,棒球,sports,⚾,false
231,basketball,n.,籃球,sports,🏀,false
232,soccer,n.,足球,sports,⚽,true
233,badminton,n.,羽毛球,sports,🏸,false
234,swim,n.,游泳,sports,🏊,true
235,run,n.,跑步,sports,🏃,true
236,game,n.,遊戲；比賽,sports,🎮,true
237,dance,n.,跳舞,sports,💃,true
238,doctor,n.,醫生,jobs,👨‍⚕️,true
239,nurse,n.,護理師,jobs,👩‍⚕️,true
240,farmer,n.,農夫,jobs,👨‍🌾,false
241,cook,n.,廚師,jobs,👨‍🍳,true
242,driver,n.,司機,jobs,🚗,false
243,police,n.,警察,jobs,👮,false
244,singer,n.,歌手,jobs,🎤,false
245,worker,n.,工人,jobs,👷,false
246,clerk,n.,店員,jobs,🧑‍💼,true
247,happy,adj.,快樂的,feelings,😄,true
248,sad,adj.,難過的,feelings,😢,true
249,angry,adj.,生氣的,feelings,😠,true
250,afraid,adj.,害怕的,feelings,😨,false
251,tired,adj.,疲倦的,feelings,😴,true
252,excited,adj.,興奮的,feelings,🤩,false
253,bored,adj.,無聊的,feelings,😑,true
