id,word,pos,zh,theme,emoji,spell,level,tier,alt
1,zero,num.,零,numbers,0️⃣,True,1,1,
2,one,num.,一,numbers,1️⃣,True,1,1,
3,two,num.,二,numbers,2️⃣,True,1,1,
4,three,num.,三,numbers,3️⃣,True,1,1,
5,four,num.,四,numbers,4️⃣,True,1,1,
6,five,num.,五,numbers,5️⃣,True,1,1,
7,six,num.,六,numbers,6️⃣,True,1,1,
8,seven,num.,七,numbers,7️⃣,True,1,1,
9,eight,num.,八,numbers,8️⃣,True,1,1,
10,nine,num.,九,numbers,9️⃣,True,1,1,
11,ten,num.,十,numbers,🔟,True,1,1,
12,eleven,num.,十一,numbers,🔢,True,2,1,
13,twelve,num.,十二,numbers,🔢,True,2,1,
14,thirteen,num.,十三,numbers,🔢,False,3,1,
15,fourteen,num.,十四,numbers,🔢,False,3,1,
16,fifteen,num.,十五,numbers,🔢,False,3,1,
17,sixteen,num.,十六,numbers,🔢,False,3,1,
18,seventeen,num.,十七,numbers,🔢,False,3,1,
19,eighteen,num.,十八,numbers,🔢,False,3,1,
20,nineteen,num.,十九,numbers,🔢,False,3,1,
21,twenty,num.,二十,numbers,🔢,False,3,1,
22,red,adj.,紅色的,colors,🔴,True,1,1,
23,blue,adj.,藍色的,colors,🔵,True,1,1,
24,yellow,adj.,黃色的,colors,🟡,True,2,1,
25,green,adj.,綠色的,colors,🟢,True,1,1,
26,black,adj.,黑色的,colors,⚫,True,1,1,
27,white,adj.,白色的,colors,⚪,True,2,1,
28,orange,adj.,橘色的,colors,🟠,True,2,1,
29,purple,adj.,紫色的,colors,🟣,True,2,1,
30,brown,adj.,咖啡色的,colors,🟤,True,1,1,
31,pink,adj.,粉紅色的,colors,🌸,True,1,1,
32,animal,n.,動物,animals,🐾,False,2,1,
33,dog,n.,狗,animals,🐶,True,1,1,
34,cat,n.,貓,animals,🐱,True,1,1,
35,bird,n.,鳥,animals,🐦,True,1,1,
36,fish,n.,魚,animals,🐟,True,1,1,
37,pig,n.,豬,animals,🐷,True,1,1,
38,cow,n.,牛,animals,🐮,True,1,1,
39,horse,n.,馬,animals,🐴,True,1,1,
40,sheep,n.,綿羊,animals,🐑,False,2,1,
41,duck,n.,鴨子,animals,🦆,True,1,1,
42,chicken,n.,雞,animals,🐔,False,3,1,
43,rabbit,n.,兔子,animals,🐰,False,2,1,
44,mouse,n.,老鼠,animals,🐭,False,2,1,
45,bear,n.,熊,animals,🐻,True,1,1,
46,lion,n.,獅子,animals,🦁,True,1,1,
47,tiger,n.,老虎,animals,🐯,False,2,1,
48,elephant,n.,大象,animals,🐘,False,3,1,
49,monkey,n.,猴子,animals,🐵,False,2,1,
50,frog,n.,青蛙,animals,🐸,True,1,1,
51,snake,n.,蛇,animals,🐍,False,2,1,
52,turtle,n.,烏龜,animals,🐢,False,3,1,
53,bee,n.,蜜蜂,animals,🐝,True,1,1,
54,ant,n.,螞蟻,animals,🐜,True,1,1,
55,butterfly,n.,蝴蝶,animals,🦋,False,3,1,
56,body,n.,身體,body,🧍,True,1,1,
57,head,n.,頭,body,🙂,True,1,1,
58,face,n.,臉,body,😀,True,1,1,
59,hair,n.,頭髮,body,💇,True,1,1,
60,eye,n.,眼睛,body,👁️,True,1,1,
61,ear,n.,耳朵,body,👂,True,1,1,
62,nose,n.,鼻子,body,👃,False,2,1,
63,mouth,n.,嘴巴,body,👄,False,2,1,
64,tooth,n.,牙齒,body,🦷,False,2,1,
65,hand,n.,手,body,✋,True,1,1,
66,arm,n.,手臂,body,💪,True,1,1,
67,finger,n.,手指,body,👆,False,2,1,
68,leg,n.,腿,body,🦵,True,1,1,
69,foot,n.,腳,body,🦶,True,1,1,
70,knee,n.,膝蓋,body,🦵,True,1,1,
71,family,n.,家庭,family,👨‍👩‍👧,True,2,1,
72,father,n.,爸爸,family,👨,True,2,1,
73,mother,n.,媽媽,family,👩,True,2,1,
74,brother,n.,兄弟,family,👦,True,2,1,
75,sister,n.,姊妹,family,👧,True,2,1,
76,grandfather,n.,祖父,family,👴,False,3,1,
77,grandmother,n.,祖母,family,👵,False,3,1,
78,son,n.,兒子,family,👦,True,1,1,
79,daughter,n.,女兒,family,👧,False,3,1,
80,uncle,n.,叔叔；舅舅,family,🧔,True,2,1,
81,aunt,n.,阿姨；姑姑,family,👩,True,1,1,
82,food,n.,食物,food,🍽️,True,1,1,
83,fruit,n.,水果,food,🍇,True,1,1,
84,apple,n.,蘋果,food,🍎,True,1,1,
85,banana,n.,香蕉,food,🍌,False,2,1,
86,grape,n.,葡萄,food,🍇,True,1,1,
87,strawberry,n.,草莓,food,🍓,False,3,1,
88,watermelon,n.,西瓜,food,🍉,False,3,1,
89,tomato,n.,番茄,food,🍅,False,2,1,
90,vegetable,n.,蔬菜,food,🥬,False,3,1,
91,rice,n.,米飯,food,🍚,True,1,1,
92,bread,n.,麵包,food,🍞,True,1,1,
93,noodle,n.,麵條,food,🍜,False,2,1,
94,egg,n.,蛋,food,🥚,True,1,1,
95,soup,n.,湯,food,🍲,True,1,1,
96,pizza,n.,披薩,food,🍕,False,2,1,
97,hamburger,n.,漢堡,food,🍔,False,3,1,
98,cake,n.,蛋糕,food,🍰,True,1,1,
99,candy,n.,糖果,food,🍬,True,1,1,
100,cookie,n.,餅乾,food,🍪,False,2,1,
101,chocolate,n.,巧克力,food,🍫,False,3,1,
102,ice cream,n.,冰淇淋,food,🍦,False,3,1,
103,milk,n.,牛奶,food,🥛,True,1,1,
104,water,n.,水,food,💧,False,2,1,
105,juice,n.,果汁,food,🧃,True,1,1,
106,tea,n.,茶,food,🍵,True,1,1,
107,breakfast,n.,早餐,food,🌅,False,3,1,
108,lunch,n.,午餐,food,🍱,True,1,1,
109,dinner,n.,晚餐,food,🍽️,False,2,1,
110,bowl,n.,碗,tableware,🥣,True,1,1,
111,cup,n.,杯子,tableware,🥤,True,1,1,
112,plate,n.,盤子,tableware,🍽️,True,1,1,
113,spoon,n.,湯匙,tableware,🥄,False,2,1,
114,fork,n.,叉子,tableware,🍴,True,1,1,
115,chopsticks,n.,筷子,tableware,🥢,False,3,1,
116,school,n.,學校,school,🏫,False,2,1,
117,classroom,n.,教室,school,🪑,False,3,1,
118,library,n.,圖書館,school,📚,False,3,1,
119,playground,n.,操場,school,🛝,False,3,1,
120,teacher,n.,老師,school,👩‍🏫,False,3,1,
121,student,n.,學生,school,🧑‍🎓,False,3,1,
122,classmate,n.,同學,school,👫,False,3,1,
123,friend,n.,朋友,school,🧑‍🤝‍🧑,True,2,1,
124,book,n.,書,school,📖,True,1,1,
125,pen,n.,原子筆,school,🖊️,True,1,1,
126,pencil,n.,鉛筆,school,✏️,False,2,1,
127,eraser,n.,橡皮擦,school,🧽,True,2,1,
128,ruler,n.,尺,school,📏,True,1,1,
129,bag,n.,書包,school,🎒,True,1,1,
130,desk,n.,書桌,school,🪑,True,1,1,
131,homework,n.,家庭作業,school,📝,False,3,1,
132,test,n.,測驗,school,📋,True,1,1,
133,English,n.,英文,school,🔤,False,3,1,
134,math,n.,數學,school,➗,True,1,1,
135,music,n.,音樂,school,🎵,True,1,1,
136,art,n.,美術,school,🎨,True,1,1,
137,science,n.,自然科學,school,🔬,False,3,1,
138,Monday,n.,星期一,time,📅,True,3,1,
139,Tuesday,n.,星期二,time,📅,False,3,1,
140,Wednesday,n.,星期三,time,📅,False,3,1,
141,Thursday,n.,星期四,time,📅,False,3,1,
142,Friday,n.,星期五,time,📅,True,3,1,
143,Saturday,n.,星期六,time,📅,False,3,1,
144,Sunday,n.,星期日,time,📅,False,3,1,
145,January,n.,一月,time,🗓️,False,3,1,
146,February,n.,二月,time,🗓️,False,3,1,
